,name,crn,address1,address2,postTown,county,country,postcode,category,status,origin,accounts_lastMadeUpDate,accountCategory,returns_lastMadeUpDate,sic1,sic2,sic3,sic4,POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE,website
10,15 ALMA SQUARE MANAGEMENT COMPANY LIMITED,09739862,62/63 WESTBOROUGH,,SCARBOROUGH,N YORKS,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,,,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
11,156 CASTLE ROAD LIMITED,04099319,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2017,,31/10/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
12,2 ALMA COURT MANAGEMENT CO. LIMITED,03198835,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2017,,12/06/2016,74990 - Non-trading company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
13,272 EARLSFIELD ROAD LIMITED,03921273,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,08/02/2016,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
14,31 AND 33 VESPER ROAD RTM COMPANY LIMITED,07739726,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,30/09/2016,TOTAL EXEMPTION SMALL,15/08/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
15,35 TRAFALGAR SQUARE LTD,06623041,WINN & CO,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2017,,18/06/2016,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
16,6 BLENHEIM TERRACE MANAGEMENT LIMITED,06074579,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/01/2017,,30/01/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.nicholsons.uk.com/
17,A & D MOTOR SERVICES (SCARBOROUGH) LIMITED,09104365,62/63 WESTBOROUGH,,SCARBOROUGH,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2016,TOTAL EXEMPTION SMALL,26/06/2016,45200 - Maintenance and repair of motor vehicles,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,https://www.teteatetescarborough.co.uk/
18,A.J. STREFFORD (BEVERLEY) LIMITED,02893895,WINN AND CO,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,19/02/2017,TOTAL EXEMPTION FULL,02/02/2016,47710 - Retail sale of clothing in specialised stores,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
19,A.J. STREFFORD (SCARBOROUGH) LIMITED,02893898,WINN AND CO,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,19/02/2017,TOTAL EXEMPTION FULL,02/02/2016,47710 - Retail sale of clothing in specialised stores,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
20,ABSOLUTE ZERO LIMITED,09289954,62/63 WESTBOROUGH,,SCARBOROUGH,,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,DORMANT,31/10/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
21,ALEXANDER COURT FLATS MANAGEMENT CO LIMITED,02751436,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/09/2017,,29/09/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
22,ALNE MEWS (MANAGEMENT COMPANY) LIMITED,03639063,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,25/09/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
23,ANDREW COWEN ESTATE AGENT LIMITED,03696005,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2017,TOTAL EXEMPTION FULL,15/01/2016,68320 - Management of real estate on a fee or contract basis,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.andrewcowen.com/
24,ARRAS RESTAURANTS LIMITED,10272677,62/63 WESTBOROUGH,,SCARBOROUGH,N YORKS,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
25,ATTENBOROUGH HOTEL (SCARBOROUGH) LIMITED,00402282,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/01/2017,,02/10/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
26,AUTO 66 RACING LIMITED,00980520,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,,31/12/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://www.oliversmountracing.com/
27,AUTONOMOUS SYSTEMS LIMITED,06133968,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,03/02/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
28,AYCKBOURN CHAPTERS MANAGEMENT COMPANY LIMITED,02534371,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,,24/08/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
29,BASROS DEVELOPMENTS LIMITED,10800902,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68209 - Other letting and operating of own or leased real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
30,BELLEHAIR STUDIO LIMITED,04481294,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2017,,09/07/2015,96020 - Hairdressing and other beauty treatment,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
31,BELVEDERE MANSIONS MANAGEMENT LIMITED,05222007,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,03/09/2015,98000 - Residents property management,99999 - Dormant Company,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
32,BOATMAN'S TAVERN LIMITED,07494542,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,17/01/2016,56302 - Public houses and bars,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
33,BOYDS MILL MANAGEMENT COMPANY LIMITED,09758536,62/63 WESTBOROUGH,,SCARBOROUGH,,ENGLAND,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,30/09/2016,,,68320 - Management of real estate on a fee or contract basis,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
34,BRECKON SERVICES LIMITED,05922079,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2016,TOTAL EXEMPTION SMALL,01/09/2015,86900 - Other human health activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
35,BROMPTON HOLIDAY FLATS LIMITED,10672449,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,55100 - Hotels and similar accommodation,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
36,BROOM MILLS MANAGEMENT COMPANY LIMITED,05312532,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,14/12/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
37,BROWCON HOMES LIMITED,06307094,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKS,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/06/2016,TOTAL EXEMPTION SMALL,09/07/2015,82990 - Other business support service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
38,CATHERINE GEE LIMITED,04470042,62-63  WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2016,TOTAL EXEMPTION SMALL,26/06/2016,59113 - Television programme production activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
39,CDV SOLUTIONS LIMITED,06375024,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/08/2017,,19/09/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
40,CENTAUR HOUSE MANAGEMENT LIMITED,03478556,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,SMALL,10/12/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
41,CFT SOLUTIONS LTD,08393108,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2016,TOTAL EXEMPTION SMALL,07/02/2016,47910 - Retail sale via mail order houses or via Internet,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
42,CHEUNG'S PROPERTY GROUP LIMITED,11020269,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68320 - Management of real estate on a fee or contract basis,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
43,CHILTERNS (EAST YORKSHIRE) LIMITED,04960805,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2016,TOTAL EXEMPTION SMALL,12/11/2015,46180 - Agents specialized in the sale of other particular products,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
44,CHOLSO LIMITED,02909590,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,TOTAL EXEMPTION FULL,17/03/2016,41100 - Development of building projects,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
45,CIGIIT LIMITED,10678303,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,17219 - Manufacture of other paper and paperboard containers,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
46,CITYWORTH LIMITED,01459436,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,31/12/2015,96090 - Other service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
47,CLIFF BRIDGE PLACE MANAGEMENT LIMITED,08865151,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/01/2017,,28/01/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
48,CNG FOODSERVICE EQUIPMENT LIMITED,04298145,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,30/09/2015,82990 - Other business support service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
49,CNG TECHNICAL LIMITED,04554283,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,04/10/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
50,CORRIGAN LEISURE (PROPERTIES) LIMITED,06749194,WINN & CO,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,30/11/2017,DORMANT,14/11/2015,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
51,CORRIGAN LEISURE LIMITED,01133724,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,TOTAL EXEMPTION FULL,29/12/2015,41100 - Development of building projects,93290 - Other amusement and recreation activities n.e.c.,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
52,CPH LOGISTICS LIMITED,07483821,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/01/2017,TOTAL EXEMPTION FULL,06/01/2016,49410 - Freight transport by road,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
53,CROWN RENOVATIONS LIMITED,05825320,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/05/2016,TOTAL EXEMPTION SMALL,21/05/2016,41202 - Construction of domestic buildings,"74909 - Other professional, scientific and technical activities n.e.c.",,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
54,D AND S RENOVATIONS LIMITED,10669933,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
55,D.P. INTERNATIONAL TOURS LIMITED,01355877,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2017,TOTAL EXEMPTION FULL,18/01/2016,79110 - Travel agency activities,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
56,DALESIDE ESTATES LIMITED,08131912,62/63 WESTBOROUGH,,SCARBOROUGH,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/07/2016,TOTAL EXEMPTION SMALL,05/07/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
57,DAWNTIME LTD.,00888459,WINN & CO,62/63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2016,TOTAL EXEMPTION SMALL,13/09/2015,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
58,DEBRA MOORE ASSOCIATES LIMITED,06542576,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,25/03/2016,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
59,DES WINKS CARS LIMITED,02042626,62-63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,01/04/2016,45112 - Sale of used cars and light motor vehicles,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,https://www.deswinks.com/volkswagen/dealerships/scarborough/?utm_source=Local%20-%20VolkswagenScarborough&utm_medium=organic&utm_campaign=GMB
60,DMA SOLUTIONS LIMITED,09865408,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2016,,,82990 - Other business support service activities n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
61,DNC SCAFFOLDING (YORKSHIRE) LIMITED,10711870,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,UNITED KINGDOM,YO11 1TS,Private Limited Company,Active,United Kingdom,,NO ACCOUNTS FILED,,43991 - Scaffold erection,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,http://dnc-scaffolding.business.site/
62,DREAMS WITHOUT BOUNDARIES LIMITED,07350082,62-63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,28/02/2017,,18/08/2015,56302 - Public houses and bars,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
63,DUKES HARRISON DEVELOPMENTS LIMITED,06406817,62/63 WESTBOROUGH,,SCARBOROUGH,NORTH YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2016,TOTAL EXEMPTION SMALL,22/10/2015,68100 - Buying and selling of own real estate,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
64,EASBY HALL MANAGEMENT COMPANY LIMITED,04990025,62-63 WESTBOROUGH,,SCARBOROUGH,N YORKSHIRE,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/03/2017,,09/12/2015,98000 - Residents property management,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
65,EAST RIDING HOLDINGS COMPANY,02126698,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Unlimited Company,Active,United Kingdom,31/12/2016,GROUP,19/12/2015,64209 - Activities of other holding companies n.e.c.,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
66,EAST RIDING SACK AND PAPER CO. LIMITED,00976517,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,SMALL,01/12/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
67,EAST RIDING SACKS LIMITED,02102303,62/63 WESTBOROUGH,SCARBOROUGH,,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/12/2016,FULL,15/11/2015,"13922 - manufacture of canvas goods, sacks, etc.",,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
68,EASTBOROUGH MANAGEMENT LIMITED,03112623,62-63 WESTBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,,,YO11 1TS,Private Limited Company,Active,United Kingdom,31/10/2017,,28/10/2015,99999 - Dormant Company,,,,YO111TS,YO11 1TS,YO11 1TS,54.278977000000005,-0.408069,E37000039,,E10000023,E07000168,E05006317,Website not found
