,name,postcode,website,website_2,name_stripped
1837754,INHERTS DESIGN LIMITED,AL9 7NZ,Website not found,Website not found,INHERTS DESIGN
443061,BEACON FINANCIAL MANAGEMENT LTD.,N18 2UL,Website not found,Website not found,BEACON FINANCIAL MANAGEMENT
3846499,TUMBLE TOWN PLAY CENTRE LIMITED,NG5 7DS,http://tumbletownplaycentre.co.uk/,http://tumbletownplaycentre.co.uk/,TUMBLE TOWN PLAY CENTRE
2358377,MARINER COMMUNICATIONS LIMITED,BN1 6SB,Website not found,Website not found,MARINER COMMUNICATIONS
1573975,GRANITE BUILDING COMPANY LIMITED,LE12 7TZ,Website not found,Website not found,GRANITE BUILDING COMPANY
2636770,NII NOI CREATIVE SOLUTIONS LTD,RM12 5AJ,Website not found,Website not found,NII NOI CREATIVE SOLUTIONS
809893,CLARA'S SHOP LIMITED,YO21 3NR,Website not found,Website not found,CLARA'S SHOP
2126612,L&K MEDI-REC COLLATIVE SERVICES LTD,CW8 4TE,Website not found,Website not found,L&K MEDI-REC COLLATIVE SERVICES
3900817,UTTA TRADING LTD,N1 7GU,Website not found,Website not found,UTTA TRADING
1761396,"HOXTON VENTURES II, C.V. L.P.",EH3 9WJ,Website not found,Website not found,"HOXTON VENTURES II, C.V. L.P."
3436560,SOVEREIGN LOANS LIMITED,SE5 8RS,Website not found,Website not found,SOVEREIGN LOANS
3410766,SOFTWARE TESTING CONSULTANTS LTD,DH9 8TQ,Website not found,Website not found,SOFTWARE TESTING CONSULTANTS
412819,BANDA SPORTSWEAR LIMITED,NR16 1EY,Website not found,Website not found,BANDA SPORTSWEAR
982307,D-CIPHER SOFTWARE LIMITED,PR2 9LY,Website not found,Website not found,D-CIPHER SOFTWARE
112942,AC GARDEN MACHINERY LTD,RM15 5BF,Website not found,Website not found,AC GARDEN MACHINERY
2189251,LEVELCOMP LIMITED,EN11 0QN,Website not found,Website not found,LEVELCOMP
2724303,ONE TEN GLOBAL LTD,IG1 1LL,Website not found,Website not found,ONE TEN GLOBAL
2789442,PANTA EDIL LONDON LIMITED,W5 3UJ,Website not found,Website not found,PANTA EDIL LONDON
1254426,ENTRUST ENGAGE INTERNATIONAL LIMITED,EC1V 3QJ,Website not found,Website not found,ENTRUST ENGAGE INTERNATIONAL
2725723,ONESPACEMAN LTD.,KY7 5NA,Website not found,Website not found,ONESPACEMAN
1612059,GULAHMAD FASHIONS LTD,OL16 1PN,Website not found,Website not found,GULAHMAD FASHIONS
2820967,PC CLINICAL SERVICES LIMITED,SL6 4UY,Website not found,Website not found,PC CLINICAL SERVICES
2115725,KTIMAGING LIMITED,SO14 2AA,Website not found,Website not found,KTIMAGING
3016474,R & C WILLIAMS LIMITED,B24 8NP,http://www.randcwilliams.ltd.uk/,http://www.randcwilliams.ltd.uk/,R & C WILLIAMS
1002118,DANNY PIG LIMITED,LS28 5JA,Website not found,Website not found,DANNY PIG
1643296,HANDCODED SOFTWARE LIMITED,RG6 4AZ,Website not found,Website not found,HANDCODED SOFTWARE
1459971,G&M DIRECT CARS LIMITED,W5 1DT,https://www.g-star.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=GB_G-StarRAWStore_LondonWhiteCity&utm_content=listing,https://www.g-star.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=GB_G-StarRAWStore_LondonWhiteCity&utm_content=listing,G&M DIRECT CARS
598502,BROCKENHURST RESIDENTS ASSOCIATION LIMITED,RH14 0JG,Website not found,Website not found,BROCKENHURST RESIDENTS ASSOCIATION
1555797,GOOD ENERGY TIDAL LIMITED,SN15 1EE,Website not found,Website not found,GOOD ENERGY TIDAL
923848,CRAM ELECTRICAL LIMITED,ML3 0QQ,Website not found,Website not found,CRAM ELECTRICAL
3709352,THE OLD CO-OP CAFE BAR (CONSETT) LIMITED,DH8 5LQ,Website not found,Website not found,THE OLD CO-OP CAFE BAR (CONSETT)
2813412,PAUL HUGHES ENGINEERING LTD,BT34 4XF,Website not found,Website not found,PAUL HUGHES ENGINEERING
1089999,DIVERS IT LIMITED,G77 6GN,Website not found,Website not found,DIVERS IT
7659,1200 PLUS LIMITED,SE22 8TP,Website not found,Website not found,1200 PLUS
1228082,ELSA CONTRACTS LIMITED,FK6 6DJ,Website not found,Website not found,ELSA CONTRACTS
468691,BENSON DENTAL PRACTICE LIMITED,B15 2LD,http://www.sabensondental.co.uk/,http://www.sabensondental.co.uk/,BENSON DENTAL PRACTICE
2622468,NEWPARK FARMS LIMITED,BT78 3JY,Website not found,Website not found,NEWPARK FARMS
1059501,DESKS INTERNATIONAL LIMITED,BT2 7JD,http://www.desksinternational.com/,http://www.desksinternational.com/,DESKS INTERNATIONAL
1798731,ICONIC TRADE EVENTS LTD,WC1B 3QJ,Website not found,Website not found,ICONIC TRADE EVENTS
3628389,TEJASVI TECHNOLOGIES LTD,TW13 4FD,Website not found,Website not found,TEJASVI TECHNOLOGIES
471164,BERKELEY BURKE SHELDON MONK LIMITED,LE1 7BR,http://www.berkeleyburke.com/,http://www.berkeleyburke.com/,BERKELEY BURKE SHELDON MONK
2199546,LIFE SHAPES LTD,SE17 1JE,http://www.lifeshapes.co.uk/,http://www.lifeshapes.co.uk/,LIFE SHAPES
204512,ALI PARVIZI LIMITED,GL52 2BD,Website not found,Website not found,ALI PARVIZI
3572147,SYDNEY ANALYSTS LIMITED,WA14 4RW,Website not found,Website not found,SYDNEY ANALYSTS
3205344,S A HOLMES LIMITED,PR2 3AQ,Website not found,Website not found,S A HOLMES
3062905,RDB PROJECTS LIMITED,BB4 7TU,Website not found,Website not found,RDB PROJECTS
1196026,EDUC8 LEARNING LIMITED,SK6 2SR,Website not found,Website not found,EDUC8 LEARNING
1915541,J.T. & E. CASTINGS LIMITED,WN1 2SA,http://www.jte-castings.co.uk/,http://www.jte-castings.co.uk/,J.T. & E. CASTINGS
1794185,IBIS BUDGET LEEDS CENTRE LIMITED,W6 7AP,Website not found,Website not found,IBIS BUDGET LEEDS CENTRE
911178,COUNTRY HOMES UK LIMITED,CM16 5BD,Website not found,http://www.fineandcountry.com/,COUNTRY HOMES UK
2892475,PLANNING & PARTY WALL SERVICES LIMITED,E12 5EL,http://www.nathanbuildingconsultants.co.uk/,http://www.nathanbuildingconsultants.co.uk/,PLANNING & PARTY WALL SERVICES
151195,ADVENT WELFARE LIMITED,RH12 3JJ,Website not found,Website not found,ADVENT WELFARE
121660,ACE TYRES 4U LIMITED,HA1 2QD,Website not found,Website not found,ACE TYRES 4U
3811972,TRAFALGAR HOLDCO LIMITED,SE10 9NL,Website not found,Website not found,TRAFALGAR HOLDCO
745290,CH ENERGY LTD.,CM2 0AP,Website not found,Website not found,CH ENERGY
2604931,NESTED FOX LIMITED,EH6 5AY,Website not found,Website not found,NESTED FOX
894020,COOPERS RECOVERY LTD,HP19 8DB,Website not found,Website not found,COOPERS RECOVERY
2220238,LITT UP LTD,W1B 3HH,Website not found,Website not found,LITT UP
617106,BUCKINGHAM PUBS LIMITED,PO5 3HU,Website not found,Website not found,BUCKINGHAM PUBS
3614909,TC DISTRIBUTION LIMITED,GU1 2ST,Website not found,Website not found,TC DISTRIBUTION
817476,CLC EVENTS LTD,SP4 0AB,Website not found,Website not found,CLC EVENTS
1498450,GENTSA LIMITED,CO6 3PX,Website not found,Website not found,GENTSA
1442909,FULLSPEED SERVICES LP,EH5 1BN,Website not found,Website not found,FULLSPEED SERVICES
132642,ACUMU IT LIMITED,E3 3AY,Website not found,Website not found,ACUMU IT
1598473,GRILL N GRILL LIMITED,EC1Y 0UJ,http://grillnpizza.com/,Website not found,GRILL N GRILL
1980353,JOHN FAUSSET LIMITED,FY6 0HE,http://johnfausset.co.uk/,http://johnfausset.co.uk/,JOHN FAUSSET
2952842,PRISENGINEERING LTD,WV4 5AP,Website not found,Website not found,PRISENGINEERING
841492,COAL FACE DEVELOPMENT LIMITED,NE2 4PQ,Website not found,Website not found,COAL FACE DEVELOPMENT
